"","part_id","cond","betas","funcMask","anatROI"
"148",45,"CSminus_V1",-0.651625159283479,"CSplusVsCSminus","aINS_space-EPI.nii"
"149",46,"CSplus_V1",3.1725820101632,"CSplusVsCSminus","aINS_space-EPI.nii"
"150",46,"GS1_V2",0.211142355882459,"CSplusVsCSminus","aINS_space-EPI.nii"
"151",46,"GS2_V3",-0.204109888341692,"CSplusVsCSminus","aINS_space-EPI.nii"
"152",46,"CSminus_V4",-0.0366535002821022,"CSplusVsCSminus","aINS_space-EPI.nii"
"153",47,"CSplus_V1",-1.04190466185411,"CSplusVsCSminus","aINS_space-EPI.nii"
"154",47,"GS1_V2",-1.16133511877722,"CSplusVsCSminus","aINS_space-EPI.nii"
"155",47,"GS2_V3",-4.07987723790937,"CSplusVsCSminus","aINS_space-EPI.nii"
"156",47,"CSminus_V4",-1.37885281907188,"CSplusVsCSminus","aINS_space-EPI.nii"
"157",48,"CSplus_V4",2.01006228778097,"CSplusVsCSminus","aINS_space-EPI.nii"
"158",48,"GS1_V3",-1.30141599519385,"CSplusVsCSminus","aINS_space-EPI.nii"
"159",48,"GS2_V2",-1.19611209324665,"CSplusVsCSminus","aINS_space-EPI.nii"
"160",48,"CSminus_V1",-2.49373473636806,"CSplusVsCSminus","aINS_space-EPI.nii"
"161",50,"CSplus_V1",1.8675147641119,"CSplusVsCSminus","aINS_space-EPI.nii"
"162",50,"GS1_V2",-1.51824447999398,"CSplusVsCSminus","aINS_space-EPI.nii"
"163",50,"GS2_V3",-0.311067498392529,"CSplusVsCSminus","aINS_space-EPI.nii"
"164",50,"CSminus_V4",-1.17356183096766,"CSplusVsCSminus","aINS_space-EPI.nii"
"165",1,"CSplus_V4",3.44212307351414,"CSplusVsCSminus","daINS_space-EPI.nii"
"166",1,"GS1_V3",0.146393781964574,"CSplusVsCSminus","daINS_space-EPI.nii"
"167",1,"GS2_V2",-0.766644576715938,"CSplusVsCSminus","daINS_space-EPI.nii"
"168",1,"CSminus_V1",-3.01439661411435,"CSplusVsCSminus","daINS_space-EPI.nii"
"169",2,"CSplus_V1",-0.834780858874178,"CSplusVsCSminus","daINS_space-EPI.nii"
"170",2,"GS1_V2",-0.232428313371097,"CSplusVsCSminus","daINS_space-EPI.nii"
"171",2,"GS2_V3",0.223951427364036,"CSplusVsCSminus","daINS_space-EPI.nii"
"172",2,"CSminus_V4",-6.49182846757213,"CSplusVsCSminus","daINS_space-EPI.nii"
"173",4,"CSplus_V4",0.731464585262623,"CSplusVsCSminus","daINS_space-EPI.nii"
"174",4,"GS1_V3",-2.92403298930118,"CSplusVsCSminus","daINS_space-EPI.nii"
"175",4,"GS2_V2",-4.44455725795915,"CSplusVsCSminus","daINS_space-EPI.nii"
"176",4,"CSminus_V1",-3.94600925362852,"CSplusVsCSminus","daINS_space-EPI.nii"
"177",5,"CSplus_V4",-2.08706574068899,"CSplusVsCSminus","daINS_space-EPI.nii"
"178",5,"GS1_V3",1.09446152606221,"CSplusVsCSminus","daINS_space-EPI.nii"
"179",5,"GS2_V2",-3.33149935697254,"CSplusVsCSminus","daINS_space-EPI.nii"
"180",5,"CSminus_V1",-1.73970091303712,"CSplusVsCSminus","daINS_space-EPI.nii"
"181",6,"CSplus_V1",1.00923307860297,"CSplusVsCSminus","daINS_space-EPI.nii"
"182",6,"GS1_V2",-0.980931437792675,"CSplusVsCSminus","daINS_space-EPI.nii"
"183",6,"GS2_V3",0.386105101698181,"CSplusVsCSminus","daINS_space-EPI.nii"
"184",6,"CSminus_V4",0.286441829126845,"CSplusVsCSminus","daINS_space-EPI.nii"
"185",7,"CSplus_V1",-0.0484144095883985,"CSplusVsCSminus","daINS_space-EPI.nii"
"186",7,"GS1_V2",0.0894507751866961,"CSplusVsCSminus","daINS_space-EPI.nii"
"187",7,"GS2_V3",-0.673155889128954,"CSplusVsCSminus","daINS_space-EPI.nii"
"188",7,"CSminus_V4",1.50346561674581,"CSplusVsCSminus","daINS_space-EPI.nii"
"189",8,"CSplus_V4",-0.167936789504649,"CSplusVsCSminus","daINS_space-EPI.nii"
"190",8,"GS1_V3",-1.42105792191896,"CSplusVsCSminus","daINS_space-EPI.nii"
"191",8,"GS2_V2",-0.304185890623827,"CSplusVsCSminus","daINS_space-EPI.nii"
"192",8,"CSminus_V1",-0.869052817287485,"CSplusVsCSminus","daINS_space-EPI.nii"
"193",9,"CSplus_V4",-3.1017568820829,"CSplusVsCSminus","daINS_space-EPI.nii"
"194",9,"GS1_V3",-3.00114563050453,"CSplusVsCSminus","daINS_space-EPI.nii"
"195",9,"GS2_V2",-1.9445258835999,"CSplusVsCSminus","daINS_space-EPI.nii"
"196",9,"CSminus_V1",-2.86231983987766,"CSplusVsCSminus","daINS_space-EPI.nii"
"197",10,"CSplus_V1",-5.0235200017762,"CSplusVsCSminus","daINS_space-EPI.nii"
"198",10,"GS1_V2",-3.76012054791576,"CSplusVsCSminus","daINS_space-EPI.nii"
